recoverability_pair,condition_stage,target_stage,pre_stage,post_stage,complexity_direction,direction_note,subject_id,group_id,channel,start_idx,window_size,pe_pre,pe_post,delta_pe,sampen_pre,sampen_post,delta_sampen
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_VMO,512,1024,0.7234954192332145,0.7022158926030919,0.02127952663012256,0.8775832559760558,0.9257118621857723,-0.048128606209716485
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_TIBANT,512,1024,0.8383593818060308,0.8160798351345688,0.022279546671461925,0.4579104309030534,0.7709080846193674,-0.31299765371631405
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_TIBANT,512,1024,0.8290830269102463,0.8165621389652497,0.012520887944996617,1.6550484236861527,1.8919341478535159,-0.2368857241673632
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_GLUT_MED,512,1024,0.8016794068328676,0.7369574794049252,0.06472192742794247,0.6253245842211842,0.8039474195135897,-0.17862283529240552
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_GLUT_MED,512,1024,0.7991806715581343,0.7928804602500265,0.0063002113081078726,0.9709945738336347,1.0936459783541925,-0.12265140452055778
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_SEMITEND,512,1024,0.7537781906918705,0.7341046073058136,0.019673583386056848,0.3189633718328697,0.6147482128989272,-0.2957848410660575
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_SEMITEND,512,1024,0.705991865588692,0.7055060453497497,0.00048582023894228055,0.5210031287518447,0.4823372360806403,0.03866589267120446
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_BICEPS_FEM,512,1024,0.7970907445231814,0.7690416186114654,0.028049125911716044,0.6815793194494871,0.82121522696237,-0.1396359075128829
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_BICEPS_FEM,512,1024,0.7747240857787591,0.7646413439641238,0.01008274181463531,1.4153706252013996,1.3552622518721622,0.06010837332923735
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,RT_MED_GASTRO,512,1024,0.8625644646596093,0.8228364660106608,0.03972799864894849,0.15113408628783268,0.18931608962826385,-0.038182003340431175
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_1,LT_MED_GASTRO,512,1024,0.852917219046998,0.8467171958024836,0.006200023244514408,0.4388688377449399,0.6634965544032151,-0.2246277166582752
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_RECTUS_FEM,0,1024,0.8138518258014987,0.7949923425598392,0.018859483241659536,0.9819299685879118,0.9706946214488266,0.01123534713908525
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_RECTUS_FEM,0,1024,0.7955514190035083,0.7573192562635747,0.038232162739933684,0.6085603410654425,0.6431186261393668,-0.03455828507392422
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_ADDUCTORS,0,1024,0.665005230434128,0.6774200046815834,-0.012414774247455407,1.0798675973819587,1.0852252078856504,-0.005357610503691657
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_ADDUCTORS,0,1024,0.6427922718037072,0.6240319270404759,0.018760344763231296,0.291832326724399,0.2798608035313623,0.011971523193036737
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_VMO,0,1024,0.7928859855625643,0.74837477456178,0.044511211000784257,0.40654153447690256,0.5286282164965899,-0.12208668201968731
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_VMO,0,1024,0.7840612542205821,0.7177525731442972,0.06630868107628496,0.15463482411170898,0.2647823583195151,-0.1101475342078061
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_TIBANT,0,1024,0.8142665013443511,0.7890232188311646,0.025243282513186527,0.759705718911809,0.8586076393878335,-0.09890192047602442
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_TIBANT,0,1024,0.8056380899073025,0.807531268803137,-0.001893178895834513,0.6339706025637595,0.7392792835479008,-0.10530868098414137
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_GLUT_MED,0,1024,0.7549182477591591,0.7441899770701329,0.010728270689026154,0.6782510242839684,0.7226421074860837,-0.04439108320211527
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_GLUT_MED,0,1024,0.7906076890891166,0.756057187632751,0.03455050145636562,0.6796638302226583,0.8546916094121418,-0.17502777918948353
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_SEMITEND,0,1024,0.704798724853715,0.6885786054451453,0.01622011940856971,0.4648614120674485,0.6045581014286979,-0.1396966893612494
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_SEMITEND,0,1024,0.6542129641273587,0.6493839650893382,0.004828999038020587,0.47693749463884877,0.4975080854451012,-0.020570590806252453
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_BICEPS_FEM,0,1024,0.7911034791925049,0.779997480650936,0.011105998541568907,0.8945646376962283,0.8834515860098955,0.011113051686332809
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_BICEPS_FEM,0,1024,0.7089864237010088,0.7164780991007901,-0.007491675399781239,0.6282677198871328,0.7399367351811375,-0.11166901529400464
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_MED_GASTRO,0,1024,0.7695761320984126,0.7176759100555584,0.05190022204285416,0.6170694701026069,0.8750132602337504,-0.25794379013114344
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_MED_GASTRO,0,1024,0.8245675214976291,0.8305248611798726,-0.005957339682243434,0.40907581283514743,0.4377786428675666,-0.02870283003241919
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_RECTUS_FEM,512,1024,0.8227375763199886,0.7988039971882566,0.023933579131731997,1.146867264170767,1.1985844815782458,-0.05171721740747892
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_RECTUS_FEM,512,1024,0.7759886633781201,0.7496368718646497,0.026351791513470446,1.033087746680601,1.0434629161869835,-0.010375169506382509
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_ADDUCTORS,512,1024,0.6732634982108722,0.6556833403271949,0.017580157883677283,0.4814475332464912,0.5077439572285826,-0.026296423982091366
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_ADDUCTORS,512,1024,0.6610027870644872,0.6440182475959668,0.01698453946852041,0.3305675686419657,0.33585187788801474,-0.005284309246049057
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_VMO,512,1024,0.8334194199440915,0.7846432813567155,0.04877613858737606,0.33572836803286116,0.5824964705199697,-0.2467681024871085
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,LT_VMO,512,1024,0.7076808416161039,0.664279050141346,0.04340179147475787,0.8915165498885753,1.0299500503466765,-0.1384335004581012
notch->bandpass,notch,bandpass,bandpass,notch,pre_minus_post,complexity delta computed as bandpass - notch,BWS,BWS_10,RT_TIBANT,512,1024,0.8277021880949318,0.7976333342846219,0.03006885381030988,0.6232758500844573,0.8230479941693238,-0.19977214408486654
